Cruise,CTD Station,Site Name,Date,Time,TimeJ,Temperature,Conductivity,Pressure,Sbeox0,Sbeox0PS,Turbidity ,Fluorescence,AltM,Salinity,DepSM,Latitude,Longitude,Niskin Bottle,Phosphate,Silicate,Nitrate and Nitrite  ,Ammonium ,Total Alkalinity ,Total Alkalinity (standard deviation) ,pH,Dissolved Inorganic Carbon,Dissolved Inorganic Carbon (Standard Deviation) ,Calcite Saturation State,Aragonite Saturation State,Fraction Modern,Fraction Modern (error),Conventional Radiocarbon Age,Conventional Radiocarbon Age (error),delta-C-13,Delta-C-14
SH-18-12,3,West Daisy Bank,10/15/18,4:55:59,288.205542,5.9122,33600,355.374,1.442,14.486,0.2741,0.0004,3.43,34.075,352.198,44.6652,-124.8028,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,3,West Daisy Bank,10/15/18,4:56:02,288.205576,5.915,33600,354.757,1.4564,14.632,0.2877,-0.0068,3.87,34.075,351.586,44.6652,-124.8028,2,2.82,48.84,34.75,<0.019,2324.58963,7.82886,-9999,2142.36,0.74,3.02,1.91,0.9268,0.0019,610,15,-0.53,-80.82
SH-18-12,3,West Daisy Bank,10/15/18,5:00:19,288.208549,8.028,35300,200.083,3.2269,33.999,0.1247,-0.0203,96.13,33.936,198.369,44.6652,-124.8028,3,2.32,38.83,28.64,0.02,2275.78479,0.76003,-9999,2081.31,0.59,3.22,2.04,0.9913,0.0019,70,15,-0.5,-16.85
SH-18-12,3,West Daisy Bank,10/15/18,5:02:21,288.20996,8.3846,35600,151.366,3.4224,36.338,0.1414,-0.0041,98.85,33.893,150.087,44.6652,-124.8028,4,2.19,30.71,27.83,<0.019,2268.81027,0.30401,-9999,2081.81,0.64,3.11,1.97,0.9953,0.0021,40,15,-0.47,-12.83
SH-18-12,3,West Daisy Bank,10/15/18,5:04:55,288.211744,8.5705,35700,101.213,3.4686,36.965,0.0932,0.0039,76.97,33.823,100.37,44.6652,-124.8028,5,2.24,35.85,28.21,<0.019,2272.69532,3.95318,-9999,2125.07,0.73,2.74,1.74,0.9961,0.0021,30,15,-0.52,-12.09
SH-18-12,3,West Daisy Bank,10/15/18,5:06:44,288.213005,9.4253,36100,49.551,5.4842,59.443,0.0575,0.1831,77.45,33.515,49.145,44.6652,-124.8028,6,1.75,23.82,21.44,0.03,2257.67004,1.93455,-9999,2092.83,0.74,2.97,1.89,0.9963,0.0021,30,15,-0.13,-11.84
SH-18-12,3,West Daisy Bank,10/15/18,5:08:41,288.214355,10.2212,36000,30.375,8.075,88.574,0.0896,0.9779,66.63,32.664,30.127,44.6652,-124.8028,7,0.86,7.32,6.92,0.26,2213.16313,0.36522,-9999,2019.4,0.77,3.44,2.19,0.9923,0.002,60,15,0.89,-15.85
SH-18-12,3,West Daisy Bank,10/15/18,5:10:19,288.215493,12.2451,37700,9.226,8.4948,97.225,0.1238,1.5147,98.85,32.557,9.151,44.6652,-124.8028,8,0.54,4.95,2.85,0.21,2207.22785,2.50809,-9999,2017.45,0.82,3.37,2.15,0.9925,0.0019,60,15,1.18,-15.66
SH-18-12,3,West Daisy Bank,10/15/18,5:10:26,288.215576,12.3381,37800,9.386,8.4993,97.459,0.1221,1.4723,91,32.545,9.31,44.6652,-124.8028,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,1,Daisy Bank 1,10/12/18,11:14:33,285.468436,8.3313,35600,161.352,3.1183,33.072,0.1582,-0.0033,9.47,33.903,159.985,44.6404,-124.7503,3,2.27,37.62,29.39,0.03,2277.70441,3.90481,-9999,2159.11,1.53,2.23,1.41,0.9904,0.0024,80,20,-9999,-17.75
SH-18-12,1,Daisy Bank 1,10/12/18,11:21:53,285.473521,8.6328,35800,100.838,3.9282,41.931,0.1377,0.0218,63.19,33.863,99.998,44.6404,-124.7503,4,2.12,33.24,27.49,<0.019,2268.57141,0.03378,-9999,2072.48,0.59,3.32,2.1,0.9916,0.0021,70,15,-9999,-16.51
SH-18-12,1,Daisy Bank 1,10/12/18,11:24:09,285.4751,9.1878,36000,50.106,5.0332,54.305,0.0503,0.0697,64.27,33.616,49.695,44.6404,-124.7503,5,1.87,24.62,22.74,0.07,2250.21552,0.84447,-9999,2062.98,0.01,3.23,2.05,1.0013,0.0025,>Modern,-9999,-9999,-6.86
SH-18-12,1,Daisy Bank 1,10/12/18,11:25:35,285.476092,10.6586,36600,30.14,7.6615,84.939,0.0668,0.9468,63.09,32.851,29.894,44.6404,-124.7503,6,1.05,10.12,9.98,0.32,2222.05534,2.97342,-9999,2041.37,1.06,3.17,2.01,0.9948,0.0022,40,20,-9999,-13.39
SH-18-12,1,Daisy Bank 1,10/12/18,11:26:43,285.476875,14.3547,39300,9.214,8.2379,98.286,0.138,1.4706,62.19,32.259,9.14,44.6404,-124.7503,7,0.29,3.26,0.32,0.03,2203.78902,3.38882,-9999,2009.25,1.21,3.44,2.19,0.9921,0.0021,65,15,-9999,-16.04
SH-18-12,2,Daisy Bank 2,10/12/18,22:45:17,285.948109,6.9674,34500,286.846,2.2281,22.928,0.3984,0.0024,5.05,34.021,284.329,44.6355,-124.7573,1,2.54,46.34,31.85,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:45:29,285.948241,6.945,34500,286.494,2.2106,22.737,0.4431,-0.0004,5.24,34.022,283.982,44.6355,-124.7573,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:49:01,285.950703,7.9307,35300,205.037,2.9185,30.685,0.1512,-0.0188,98.85,33.954,203.278,44.6355,-124.7573,3,0.36,4.07,0.93,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:49:09,285.950797,7.9244,35300,205.417,2.9241,30.74,0.1627,-0.02,98.85,33.954,203.655,44.6355,-124.7573,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:54:03,285.954195,11.1492,36900,22.468,7.9556,89.081,0.0752,1.0188,98.85,32.76,22.285,44.6355,-124.7573,5,0.84,7.59,7.12,0.49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:54:07,285.954245,11.0639,36900,22.286,7.9546,88.917,0.0733,0.9979,84.48,32.778,22.105,44.6355,-124.7573,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:55:33,285.955238,14.1686,39200,1.504,8.4398,100.349,0.1619,1.485,4.61,32.311,1.491,44.6355,-124.7573,7,0.37,3.89,0.85,0.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,2,Daisy Bank 2,10/12/18,22:55:40,285.955319,14.1682,39200,1.668,8.4253,100.175,0.1581,1.4768,3.04,32.311,1.654,44.6355,-124.7573,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,5,Bandon High,10/17/18,1:12:17,290.050195,6.5471,34200,372.107,2.2295,22.724,0.3517,-0.0126,5.29,34.034,368.825,42.9301,-124.9059,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,5,Bandon High,10/17/18,1:27:23,290.060677,11.1497,37500,10.119,7.9649,89.494,0.1827,2.3549,85.06,33.302,10.038,42.9301,-124.9059,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,6,Brush Patch,10/18/18,2:06:25,291.087778,4.8885,32900,571.84,0.5946,5.835,0.0773,-0.0024,3.81,34.191,566.578,41.8975,-124.8473,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,6,Brush Patch,10/18/18,2:06:26,291.087799,4.8869,32900,571.822,0.5885,5.775,0.0701,0.0034,3.96,34.192,566.56,41.8975,-124.8473,2,3.24,85.89,39.23,0.03,2348.68051,0.2001,-9999,2170.32,49.96,2.77,1.76,0.8687,0.002,1130,20,-9999,-138.45
SH-18-12,6,Brush Patch,10/18/18,2:09:41,291.090056,5.4883,33300,454.94,1.2658,12.591,0.0407,-0.0051,80.36,34.083,450.88,41.8975,-124.8473,3,3.05,72.79,38.02,<0.019,2326.4038,1.01468,-9999,2168.39,0.83,2.58,1.63,0.9108,0.0022,750,20,-9999,-96.68
SH-18-12,6,Brush Patch,10/18/18,2:12:41,291.092137,5.9344,33600,353.114,2.0402,20.497,0.0455,-0.0083,98.85,34.013,350.048,41.8975,-124.8473,4,2.8,60.38,34.56,0.02,2302.7633,0.42224,-9999,2190.97,1.24,2.04,1.29,0.9366,0.002,525,15,-9999,-71.1
SH-18-12,6,Brush Patch,10/18/18,2:15:36,291.094163,6.9095,34400,252.806,3.1554,32.416,0.0465,-0.0128,98.85,33.966,250.672,41.8975,-124.8473,5,2.38,48.1,31.56,0.04,2288.20518,0.60802,-9999,2138.74,0.61,2.57,1.63,0.974,0.0024,210,20,-9999,-33.99
SH-18-12,6,Brush Patch,10/18/18,2:18:14,291.095985,7.9676,35200,151.121,4.6431,48.849,0.0567,-0.0397,98.85,33.922,149.882,41.8975,-124.8473,6,1.89,30.47,24.84,<0.019,2273.99339,0.52357,-9999,2095.09,0.92,3.04,1.93,1.0009,0.0024,>Modern,-9999,-9999,-7.29
SH-18-12,6,Brush Patch,10/18/18,2:20:11,291.097349,8.6751,35600,99.199,5.2188,55.686,0.0551,-0.0163,98.85,33.657,98.398,41.8975,-124.8473,7,1.75,26.05,22.05,0.03,2262.85137,0.50625,-9999,2078.56,1.62,3.15,2,1.0057,0.0029,>Modern,-9999,-9999,-2.54
SH-18-12,6,Brush Patch,10/18/18,2:22:12,291.09874,11.3418,37400,49.806,7.8016,87.874,0.0727,0.4898,98.85,33.045,49.41,41.8975,-124.8473,8,0.97,8.94,9.2,0.42,2232.33971,2.38999,-9999,2045.05,1.06,3.26,2.07,1.0022,0.0024,>Modern,-9999,-9999,-6.04
SH-18-12,6,Brush Patch,10/18/18,2:23:27,291.099608,13.5038,39100,29.782,8.1859,96.321,0.1393,1.804,98.85,32.816,29.547,41.8975,-124.8473,9,0.55,4.68,4.22,0.16,2216.84768,0.42224,-9999,2026.76,0.62,3.34,2.13,0.9988,0.0023,10,20,-9999,-9.42
SH-18-12,6,Brush Patch,10/18/18,2:24:46,291.10053,14.5021,40000,10.074,8.1596,97.922,0.1589,1.8468,98.85,32.722,9.995,41.8975,-124.8473,10,0.37,2.99,1.07,0.05,2211.64067,0.65869,-9999,2009.71,1.07,3.54,2.26,1.0012,0.0028,>Modern,-9999,-9999,-7.05
SH-18-12,6,Brush Patch,10/18/18,2:24:48,291.100548,14.5255,40000,9.889,8.1456,97.798,0.1393,1.8785,98.85,32.719,9.812,41.8975,-124.8473,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,7,Mendocino,10/19/18,23:26:57,292.977045,6.5394,34200,347.448,1.8692,19.053,0.0478,-0.0218,4.9,34.066,344.487,40.2873,-124.6913,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,7,Mendocino,10/19/18,23:27:05,292.977135,6.5415,34200,347.114,1.8695,19.056,0.0474,-0.0225,5.21,34.066,344.156,40.2873,-124.6913,2,-9999,-9999,-9999,-9999,2304.56067,0.34623,-9999,2191.52,1.75,2.07,1.31,0.9435,0.0022,465,20,-9999,-64.24
SH-18-12,7,Mendocino,10/19/18,23:30:24,292.979444,7.3886,34900,251.275,2.6436,27.467,0.0417,-0.0275,98.85,34.019,249.191,40.2873,-124.6913,3,2.43,46.06,5.69,0.02,2299.23845,0.85679,-9999,2217.97,0.25,1.74,1.1,0.9721,0.0028,225,25,-9999,-35.88
SH-18-12,7,Mendocino,10/19/18,23:33:04,292.981295,8.5099,35800,151.632,4.143,44.129,0.0533,-0.0372,97.2,33.95,150.411,40.2873,-124.6913,4,1.93,31.41,24.37,0.05,2281.10923,0.42813,-9999,2087.88,0.35,3.25,2.06,1.005,0.0023,>Modern,-9999,-9999,-3.21
SH-18-12,7,Mendocino,10/19/18,23:34:50,292.982522,9.7661,36700,100.743,4.5853,50.137,0.0579,0.0423,98.13,33.714,99.944,40.2873,-124.6913,5,1.82,23.89,21.52,0.02,2257.28558,1.6045,-9999,2121,1.22,2.49,1.58,1.001,0.0024,>Modern,-9999,-9999,-7.2
SH-18-12,7,Mendocino,10/19/18,23:36:51,292.983918,10.6626,37300,48.793,6.1239,68.191,0.0737,0.3575,98.85,33.526,48.412,40.2873,-124.6913,6,1.4,16.27,16.21,0.09,2248.14346,1.05559,-9999,2087.11,1.22,2.87,1.82,1.0093,0.0025,>Modern,-9999,-9999,1.02
SH-18-12,7,Mendocino,10/19/18,23:37:52,292.984628,11.8174,38100,30.593,7.7729,88.595,0.0902,1.3557,77.56,33.327,30.355,40.2873,-124.6913,7,1.07,10.96,10.73,0.17,2243.04819,0.23098,-9999,2060.46,1.56,3.21,2.04,1.006,0.003,>Modern,-9999,-9999,-2.29
SH-18-12,7,Mendocino,10/19/18,23:39:15,292.985587,11.9952,38200,10.291,8.1013,92.665,0.0962,1.7003,93.93,33.294,10.211,40.2873,-124.6913,8,0.82,7.71,7.59,0.12,2240.36846,0.71051,-9999,2046.64,0.75,3.38,2.15,1.0066,0.0026,>Modern,-9999,-9999,-1.68
SH-18-12,7,Mendocino,10/19/18,23:39:18,292.98562,11.9959,38200,10.262,8.0745,92.36,0.1068,1.7552,98.82,33.294,10.183,40.2873,-124.6913,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,9,Pt. Arena,10/21/18,0:05:06,295.003539,5.5011,33400,537.626,0.7528,7.495,0.0874,-0.0153,5.12,34.18,532.878,38.689,-123.8093,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,9,Pt. Arena,10/21/18,0:05:15,295.003634,5.5059,33400,538.039,0.7464,7.432,0.0943,-0.0081,4.81,34.178,533.287,38.689,-123.8093,2,3.32,86.2,38.61,0.07,2331.19285,7.84517,-9999,2199.73,2.81,2.2,1.4,0.894,0.0023,900,20,-9999,-113.3
SH-18-12,9,Pt. Arena,10/21/18,0:09:24,295.006527,7.6054,35200,352.832,1.7146,17.914,0.0723,-0.0078,98.85,34.115,349.872,38.689,-123.8093,3,2.86,55.78,33.16,<0.019,2300.61362,2.28008,-9999,2221.27,1.61,1.68,1.07,0.9573,0.0024,350,20,-9999,-50.52
SH-18-12,9,Pt. Arena,10/21/18,0:11:53,295.008249,8.4217,35800,250.911,2.3476,24.974,0.0615,-0.0205,90.52,34.065,248.867,38.689,-123.8093,4,2.44,39.28,30.79,<0.019,2287.86445,1.3207,-9999,2164.73,0.59,2.25,1.43,0.9877,0.0026,100,20,-9999,-20.35
SH-18-12,9,Pt. Arena,10/21/18,0:14:27,295.010031,9.3755,36500,151.58,3.2462,35.233,0.2416,-0.0078,98.85,33.894,150.381,38.689,-123.8093,5,2.07,28.07,26.16,<0.019,2267.89665,0.7178,-9999,2125.58,0.66,2.55,1.62,1.0063,0.0024,>Modern,-9999,-9999,-1.98
SH-18-12,9,Pt. Arena,10/21/18,0:16:17,295.011304,9.8645,36800,101.404,4.0536,44.433,0.0603,-0.0061,98.85,33.769,100.614,38.689,-123.8093,6,1.87,23.52,23.34,<0.019,2259.7816,0.89514,-9999,2123.28,0.95,2.5,1.59,1.0104,0.003,>Modern,-9999,-9999,2.08
SH-18-12,9,Pt. Arena,10/21/18,0:18:17,295.012695,10.9626,37600,50.17,5.7005,63.899,0.0767,0.2125,95.75,33.557,49.786,38.689,-123.8093,7,1.49,16.42,17.64,<0.019,2246.64466,2.00985,-9999,2072.97,0.18,3.05,1.94,1.0103,0.0025,>Modern,-9999,-9999,2.05
SH-18-12,9,Pt. Arena,10/21/18,0:19:36,295.0136,11.561,37900,30.603,7.4684,84.674,0.0643,0.5743,98.85,33.346,30.37,38.689,-123.8093,8,1.14,11.68,12.35,0.49,2243.28055,1.78141,-9999,2095.68,0.48,2.7,1.72,1.0092,0.0028,>Modern,-9999,-9999,0.9
SH-18-12,9,Pt. Arena,10/21/18,0:21:06,295.01465,13.0113,39300,10.524,8.4527,98.828,0.1215,0.7195,62.33,33.417,10.444,38.689,-123.8093,9,0.67,9,4.58,0.65,2251.09928,0.21956,-9999,2042.98,2.47,3.61,2.3,1.0072,0.003,>Modern,-9999,-9999,-1.05
SH-18-12,9,Pt. Arena,10/21/18,0:21:22,295.014835,13.0118,39300,10.321,8.507,99.464,0.0957,0.7489,98.85,33.417,10.242,38.689,-123.8093,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,10,Pt. Arena,10/22/18,23:52:56,295.995089,5.0365,33100,616.94,0.3926,3.868,0.1263,0.0041,4.06,34.272,611.377,38.6555,-123.8015,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,10,Pt. Arena,10/22/18,23:53:03,295.995171,5.033,33100,617.345,0.3903,3.845,0.1469,0.0029,3.65,34.273,611.778,38.6555,-123.8015,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,10,Pt. Arena,10/22/18,0:05:17,296.003667,14.3967,40300,10.281,8.2856,99.465,0.1253,1.9096,72.97,33.116,10.203,38.6555,-123.8015,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,10,Pt. Arena,10/22/18,0:05:26,296.003762,14.4312,40300,9.899,8.2856,99.532,0.1286,1.7644,74.69,33.113,9.824,38.6555,-123.8015,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,12,La Cruz Canyon2,10/28/18,0:08:41,301.006021,8.5279,35900,234.342,2.6605,28.365,0.1738,-0.0178,4.86,34.039,232.503,35.7475,-121.4247,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,12,La Cruz Canyon2,10/28/18,0:08:46,301.006077,8.5373,35900,233.535,2.6343,28.092,0.1903,-0.0322,5.65,34.038,231.703,35.7475,-121.4247,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,12,La Cruz Canyon2,10/28/18,0:13:59,301.009708,12.8713,39300,9.472,6.5871,76.855,0.1222,1.032,98.85,33.546,9.403,35.7475,-121.4247,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,12,La Cruz Canyon2,10/28/18,0:14:08,301.009803,12.854,39300,9.476,6.5637,76.554,0.1245,1.0475,98.85,33.546,9.407,35.7475,-121.4247,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,11,La Cruz Canyon,10/27/18,1:37:58,300.068031,7.2953,35000,471.595,1.0606,11.01,0.238,-0.0073,3.55,34.205,467.626,35.7423,-121.4914,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,11,La Cruz Canyon,10/27/18,1:38:00,300.068051,7.2957,35000,471.518,1.0561,10.963,0.1951,-0.0006,3.43,34.205,467.55,35.7423,-121.4914,2,2.88,56.31,34.39,<0.019,2218.54843,5.48802,7.433772,2154.27,0.6,0.95,0.6,0.9362,0.0024,530,20,-9999,-71.47
SH-18-12,11,La Cruz Canyon,10/27/18,1:40:11,300.06957,7.3867,35100,403.343,1.1356,11.812,0.1279,0.0004,82.8,34.196,400.015,35.7423,-121.4914,3,-9999,-9999,-9999,-9999,2207.13979,3.28741,7.45101,-9999,-9999,1,0,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,11,La Cruz Canyon,10/27/18,1:43:06,300.071592,7.9923,35500,302.576,2.2689,23.909,0.088,-0.0213,98.85,34.085,300.152,35.7423,-121.4914,4,2.48,42.44,31.11,<0.019,2194.00306,12.54639,7.484081,-9999,-9999,1,1,0.9755,0.0026,200,20,-9999,-32.48
SH-18-12,11,La Cruz Canyon,10/27/18,1:45:16,300.073101,8.23,35700,251.032,2.6102,27.647,0.0737,-0.0128,98.85,34.055,249.052,35.7423,-121.4914,5,-9999,-9999,-9999,-9999,2201.70864,13.11645,7.519517,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999
